1725611528.766184;44699.000000;-0.712370;-0.318882;0.625175;0.088454;1.575644;1.192804;19.817660;318.037700;1.379266;77.000000
1725611528.777821;44718.000000;-0.712487;-0.319005;0.624978;0.088212;1.575693;1.192838;19.825280;318.024400;1.378280;77.000000
1725611528.795832;44735.000000;-0.713240;-0.317962;0.624651;0.088046;1.575627;1.192915;19.789860;318.000500;1.388903;77.000000
1725611528.810826;44751.000000;-0.713422;-0.318041;0.624403;0.087861;1.575596;1.192956;19.794110;317.982200;1.393801;77.000000
1725611528.826329;44768.000000;-0.713671;-0.318275;0.623999;0.087715;1.575530;1.193035;19.811610;317.962700;1.395034;77.000000
1725611528.842297;44784.000000;-0.713666;-0.318561;0.623859;0.087568;1.575558;1.193133;19.828700;317.957300;1.397498;77.000000
1725611528.858663;44800.000000;-0.713736;-0.318805;0.623654;0.087413;1.575435;1.193152;19.848260;317.957300;1.398697;77.000000
1725611528.878984;44818.000000;-0.713404;-0.319624;0.623615;0.087306;1.575513;1.193206;19.893970;317.971500;1.435595;77.000000
1725611528.892999;44835.000000;-0.708753;-0.333395;0.621705;0.087101;1.575589;1.193274;19.880910;317.982100;1.438731;77.000000
1725611528.911281;44852.000000;-0.708700;-0.333156;0.621893;0.087023;1.575575;1.193181;19.866530;317.992200;1.436596;77.000000
1725611528.926879;44867.000000;-0.702381;-0.347651;0.621128;0.086793;1.575637;1.193258;19.881850;318.027500;1.406977;77.000000
1725611528.943576;44884.000000;-0.702488;-0.346852;0.621453;0.086702;1.575615;1.193152;19.829320;318.035600;1.438512;77.000000
1725611528.957698;44900.000000;-0.697785;-0.357431;0.620757;0.086566;1.575611;1.193120;19.828480;318.055300;1.465440;77.000000
1725611528.976634;44917.000000;-0.697781;-0.357556;0.620689;0.086458;1.575647;1.193046;19.834220;318.052200;1.484456;77.000000
1725611528.999857;44940.000000;-0.694034;-0.364372;0.620927;0.086293;1.575689;1.193035;19.809840;318.048200;1.478367;77.000000
1725611529.009775;44950.000000;-0.694116;-0.364252;0.620905;0.086082;1.575756;1.193000;19.802790;318.043600;1.475171;77.000000
1725611529.027797;44967.000000;-0.691091;-0.368895;0.621538;0.085898;1.575700;1.192959;19.780550;318.028900;1.479608;77.000000
